Pref	Sake	Shochu	Bear	Wine	Whisky
北海道	46476000	50642000	315300000	10488000	9749000
青森	17273000	11503000	83164000	1774000	3122000
岩手	17120000	10220000	67803000	1458000	1870000
宮城	27859000	11768000	109850000	2824000	5049000
秋田	24153000	6240000	67894000	1242000	2099000
山形	20570000	6067000	61130000	1706000	2466000
福島	31016000	11166000	100122000	1885000	3807000
茨城	29492000	15105000	126866000	2431000	3012000
栃木	19317000	10681000	84792000	1563000	2000000
群馬	19507000	15787000	89126000	2173000	1854000
埼玉	49947000	41220000	285095000	7521000	7212000
千葉	42396000	32957000	240116000	6508000	6043000
東京	127681000	86377000	857873000	42062000	28808000
神奈川	64128000	50606000	398308000	12784000	14036000
新潟	60494000	7018000	148885000	2908000	3718000
富山	18154000	2033000	61049000	892000	1291000
石川	18446000	2051000	68510000	1048000	1400000
福井	11031000	1304000	46844000	510000	884000
山梨	8644000	6660000	38165000	4513000	828000
長野	31665000	12350000	109141000	3991000	2471000
岐阜	24559000	4409000	103555000	1529000	1837000
静岡	38613000	22615000	179564000	4380000	4284000
愛知	60751000	18833000	400659000	7588000	7831000
三重	20039000	4891000	84792000	1264000	1853000
滋賀	14550000	2637000	56597000	954000	1167000
京都	27076000	5322000	150627000	3513000	3353000
大阪	83522000	25743000	627021000	13396000	14909000
兵庫	51206000	13070000	287860000	5494000	6694000
奈良	11264000	2377000	63038000	913000	1018000
和歌山	14393000	2324000	63164000	739000	1300000
鳥取	9394000	1955000	32689000	478000	737000
島根	12916000	4157000	39149000	1247000	753000
岡山	22057000	7283000	89771000	1504000	2006000
広島	31596000	13469000	170253000	3149000	3610000
山口	16692000	9933000	87461000	1148000	1912000
徳島	8969000	2273000	39505000	501000	759000
香川	11164000	2991000	52208000	824000	1071000
愛媛	16405000	6099000	78737000	994000	1407000
高知	11356000	3274000	54156000	621000	1115000
福岡	42881000	35614000	265176000	5276000	6084000
佐賀	11298000	4449000	43359000	529000	708000
長崎	14034000	12026000	76491000	1167000	1659000
熊本	9319000	21859000	94079000	1380000	1256000
大分	10137000	14362000	59217000	1051000	1961000
宮崎	3261000	23323000	58107000	944000	753000
鹿児島	2437000	32899000	79810000	964000	831000
